City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Talnakh,RU,-1.71,overcast clouds,69.4865,88.3972,Талнах
1,Burnie,AU,55.98,clear sky,-41.0667,145.9167,Burnie Central TownHouse Hotel
2,Atuona,PF,77.67,scattered clouds,-9.8,-139.0333,Pearl Resort
3,Butaritari,KI,81.05,broken clouds,3.0707,172.7902,No hotel found
4,East London,ZA,72.54,scattered clouds,-33.0153,27.9116,No hotel found
5,Asau,RO,29.32,overcast clouds,46.4333,26.4,No hotel found
6,Jamestown,US,31.59,mist,42.097,-79.2353,DoubleTree Jamestown
7,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
8,Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
9,Noumea,NC,84.0,light rain,-22.2763,166.4572,Hotel Gondwana
10,Airai,TL,64.47,overcast clouds,-8.9266,125.4092,No hotel found
11,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
12,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Tara-Mé
13,Punta Arenas,CL,50.11,overcast clouds,-53.15,-70.9167,Hotel Lacolet
14,Severo-Yeniseyskiy,RU,-11.74,overcast clouds,60.3725,93.0408,Актолик
15,Castro,BR,58.93,scattered clouds,-24.7911,-50.0119,Hotel Central Palace
16,Kaitangata,NZ,52.16,overcast clouds,-46.2817,169.8464,No hotel found
17,Barrow,US,23.02,overcast clouds,71.2906,-156.7887,No hotel found
18,Basco,PH,78.46,overcast clouds,20.4487,121.9702,Tawsen Hotel
19,Hermanus,ZA,73.8,broken clouds,-34.4187,19.2345,Aloe guest house
20,Wajima,JP,41.68,broken clouds,37.4,136.9,八汐
21,Maykor,RU,13.59,broken clouds,59.0059,55.88,No hotel found
22,Yellowknife,CA,-8.54,overcast clouds,62.456,-114.3525,No hotel found
23,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,No hotel found
24,Bengkulu,ID,80.29,overcast clouds,-3.8004,102.2655,Dena Hotel
25,Longyearbyen,SJ,33.64,broken clouds,78.2186,15.6401,The Vault
26,Nanortalik,GL,25.95,few clouds,60.1432,-45.2371,Kap Farvel
27,Vaini,TO,77.16,overcast clouds,-21.2,-175.2,Keleti International Resort
28,San Pedro,PH,87.03,broken clouds,14.35,121.0167,Hotel Takara
29,Sabzevar,IR,54.68,scattered clouds,36.2126,57.6819,مامورسرا مخابرات سبزوار
30,Weatherford,US,37.53,broken clouds,32.7593,-97.7972,Clarion
31,Thompson,CA,-21.84,overcast clouds,55.7435,-97.8558,Thompson Inn
32,Marawi,PH,71.6,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
33,Cherskiy,RU,21.61,overcast clouds,68.75,161.3,No hotel found
34,Qaanaaq,GL,-24.27,overcast clouds,77.484,-69.3632,Hotel Qaanaaq
35,Berlevag,NO,30.2,broken clouds,70.8578,29.0864,No hotel found
36,Fatehpur,IN,76.95,clear sky,25.9333,80.8,No hotel found
37,Nisia Floresta,BR,79.61,broken clouds,-6.0911,-35.2086,No hotel found
38,Siyabuswa,ZA,81.09,few clouds,-25.1132,29.0445,No hotel found
39,Cap Malheureux,MU,77.41,clear sky,-19.9842,57.6142,Cape Garden
40,Saiha,IN,73.02,scattered clouds,22.4833,92.9667,No hotel found
41,Lebu,CL,48.65,clear sky,-37.6167,-73.65,No hotel found
42,Busselton,AU,71.76,clear sky,-33.65,115.3333,No hotel found
43,Cape Town,ZA,78.89,scattered clouds,-33.9258,18.4232,Townhouse Hotel
44,Chokurdakh,RU,-3.64,snow,70.6333,147.9167,No hotel found
45,Malm,NO,36.79,few clouds,64.0721,11.2172,No hotel found
46,Arraial Do Cabo,BR,73.36,overcast clouds,-22.9661,-42.0278,No hotel found
47,Tura,IN,77.07,clear sky,25.5198,90.2201,No hotel found
