City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talnakh,RU,69.4865,88.3972,-1.71,99,100,0.76,overcast clouds
1,Burnie,AU,-41.0667,145.9167,55.98,74,6,9.73,clear sky
2,Atuona,PF,-9.8,-139.0333,77.67,80,28,14.47,scattered clouds
3,Butaritari,KI,3.0707,172.7902,81.05,79,62,12.86,broken clouds
4,East London,ZA,-33.0153,27.9116,72.54,83,40,6.91,scattered clouds
5,Asau,RO,46.4333,26.4,29.32,75,100,3.67,overcast clouds
6,Jamestown,US,42.097,-79.2353,31.59,95,100,14.97,mist
7,Ushuaia,AR,-54.8,-68.3,47.86,61,40,5.75,scattered clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,66.54,95,87,10.71,overcast clouds
9,Noumea,NC,-22.2763,166.4572,84.0,99,65,3.74,light rain
10,Airai,TL,-8.9266,125.4092,64.47,91,100,2.46,overcast clouds
11,Avarua,CK,-21.2078,-159.775,77.05,88,75,11.5,broken clouds
12,Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,8.05,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,50.11,57,100,28.07,overcast clouds
14,Severo-Yeniseyskiy,RU,60.3725,93.0408,-11.74,100,100,1.79,overcast clouds
15,Castro,BR,-24.7911,-50.0119,58.93,98,35,4.23,scattered clouds
16,Kaitangata,NZ,-46.2817,169.8464,52.16,61,99,10.11,overcast clouds
17,Barrow,US,71.2906,-156.7887,23.02,86,100,10.36,overcast clouds
18,Basco,PH,20.4487,121.9702,78.46,83,89,23.44,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,73.8,71,82,9.17,broken clouds
20,Wajima,JP,37.4,136.9,41.68,100,75,4.61,broken clouds
21,Maykor,RU,59.0059,55.88,13.59,87,71,4.9,broken clouds
22,Yellowknife,CA,62.456,-114.3525,-8.54,97,100,3.83,overcast clouds
23,Ribeira Grande,PT,38.5167,-28.7,63.0,72,75,9.22,broken clouds
24,Bengkulu,ID,-3.8004,102.2655,80.29,76,100,3.33,overcast clouds
25,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,3.44,broken clouds
26,Nanortalik,GL,60.1432,-45.2371,25.95,74,17,31.9,few clouds
27,Vaini,TO,-21.2,-175.2,77.16,94,100,2.3,overcast clouds
28,San Pedro,PH,14.35,121.0167,87.03,68,75,10.36,broken clouds
29,Sabzevar,IR,36.2126,57.6819,54.68,50,40,18.41,scattered clouds
30,Weatherford,US,32.7593,-97.7972,37.53,69,57,6.06,broken clouds
31,Thompson,CA,55.7435,-97.8558,-21.84,76,100,5.75,overcast clouds
32,Marawi,PH,7.9986,124.2928,71.6,96,100,3.69,overcast clouds
33,Cherskiy,RU,68.75,161.3,21.61,93,100,10.02,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,-24.27,93,93,6.87,overcast clouds
35,Berlevag,NO,70.8578,29.0864,30.2,86,75,5.75,broken clouds
36,Fatehpur,IN,25.9333,80.8,76.95,23,0,5.46,clear sky
37,Nisia Floresta,BR,-6.0911,-35.2086,79.61,76,66,7.0,broken clouds
38,Siyabuswa,ZA,-25.1132,29.0445,81.09,36,22,2.44,few clouds
39,Cap Malheureux,MU,-19.9842,57.6142,77.41,71,0,14.03,clear sky
40,Saiha,IN,22.4833,92.9667,73.02,90,43,2.77,scattered clouds
41,Lebu,CL,-37.6167,-73.65,48.65,82,0,12.93,clear sky
42,Busselton,AU,-33.65,115.3333,71.76,52,1,16.84,clear sky
43,Cape Town,ZA,-33.9258,18.4232,78.89,60,40,5.75,scattered clouds
44,Chokurdakh,RU,70.6333,147.9167,-3.64,98,100,9.06,snow
45,Malm,NO,64.0721,11.2172,36.79,82,21,2.13,few clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,100,12.66,overcast clouds
47,Tura,IN,25.5198,90.2201,77.07,53,0,3.76,clear sky
48,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,67.93,75,96,4.16,overcast clouds
49,Chuy,UY,-33.6971,-53.4616,70.38,93,100,8.19,overcast clouds
50,Magadan,RU,59.5667,150.8,13.53,61,100,10.94,light snow
51,Mataura,NZ,-46.1927,168.8643,50.49,59,97,9.44,overcast clouds
52,Zhigansk,RU,66.7697,123.3711,-14.58,97,100,6.04,overcast clouds
53,Cayenne,GF,4.9333,-52.3333,75.24,94,75,4.61,broken clouds
54,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,5.75,overcast clouds
55,Kapaa,US,22.0752,-159.319,75.52,91,100,6.91,light rain
56,Jalu,LY,29.0331,21.5482,65.08,39,0,0.58,clear sky
57,Bredasdorp,ZA,-34.5322,20.0403,81.95,36,51,10.76,broken clouds
58,Santiago De Cuba,CU,20.0247,-75.8219,75.31,83,20,4.61,few clouds
59,Rikitea,PF,-23.1203,-134.9692,73.04,75,42,12.75,scattered clouds
60,Cajati,BR,-24.7361,-48.1228,67.93,99,18,1.88,few clouds
61,Odessa,UA,46.4775,30.7326,38.03,70,100,15.14,overcast clouds
62,Ialibu,PG,-6.2821,143.9935,58.66,97,100,0.67,light rain
63,Mineral Wells,US,32.8085,-98.1128,38.08,69,0,0.0,clear sky
64,La Ronge,CA,55.1001,-105.2842,-9.15,70,100,11.5,light snow
65,Meulaboh,ID,4.1363,96.1285,80.71,78,100,4.16,overcast clouds
66,Tasiilaq,GL,65.6145,-37.6368,42.96,83,100,12.06,light rain
67,Esso,RU,55.9333,158.7,4.24,98,59,4.18,broken clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,64.09,98,100,21.0,light rain
69,Sambava,MG,-14.2667,50.1667,82.35,66,5,10.33,clear sky
70,Camocim,BR,-2.9022,-40.8411,77.04,82,80,11.25,broken clouds
71,Ancud,CL,-41.8697,-73.8203,41.97,81,1,3.02,clear sky
72,Zabol,AF,32.25,67.25,54.64,25,100,7.65,overcast clouds
73,Pudozh,RU,61.8099,36.5345,17.29,89,100,2.57,overcast clouds
74,Mahebourg,MU,-20.4081,57.7,82.69,57,40,13.8,scattered clouds
75,Kochinda,IN,21.7333,84.35,84.16,39,1,3.78,clear sky
76,Mao,ES,39.8885,4.2658,50.56,87,20,6.91,few clouds
77,Faya,SA,18.3851,42.4509,68.52,37,1,2.39,clear sky
78,Rockford,US,42.2711,-89.094,18.07,80,0,8.05,clear sky
79,Klaksvik,FO,62.2266,-6.589,50.92,98,100,20.89,light rain
80,Varkaus,FI,62.3153,27.873,27.3,93,100,0.29,overcast clouds
81,Cairns,AU,-16.9167,145.7667,82.06,81,100,12.66,overcast clouds
82,Byron Bay,AU,-28.65,153.6167,60.94,89,100,20.2,light rain
83,Henties Bay,NA,-22.116,14.2845,65.39,76,15,9.44,few clouds
84,Norman Wells,CA,65.282,-126.8329,-7.56,77,100,2.3,light snow
85,Wanning,CN,18.8003,110.3967,71.38,92,100,15.43,overcast clouds
86,Camana,PE,-16.6228,-72.7111,64.9,88,0,8.81,clear sky
87,Sorong,ID,-0.8833,131.25,82.54,75,59,6.51,broken clouds
88,Port Alfred,ZA,-33.5906,26.891,74.17,77,52,1.01,broken clouds
89,Trofors,NO,65.5333,13.4063,28.27,90,31,3.11,scattered clouds
90,New Norfolk,AU,-42.7826,147.0587,54.91,59,27,1.01,scattered clouds
91,Emporia,US,38.4039,-96.1817,25.9,74,0,5.75,clear sky
92,Mayumba,GA,-3.432,10.6554,82.06,74,100,5.66,overcast clouds
93,Kathmandu,NP,27.7167,85.3167,70.02,35,20,3.44,few clouds
94,Albany,US,42.6001,-73.9662,34.34,57,4,3.0,clear sky
95,Gornopravdinsk,RU,60.05,69.9,-2.06,91,15,0.74,few clouds
96,Clyde River,CA,70.4692,-68.5914,-23.57,62,0,2.3,clear sky
97,Piney Green,US,34.716,-77.3202,48.13,46,0,8.05,clear sky
98,Paragominas,BR,-2.9667,-47.4833,71.15,98,34,2.71,scattered clouds
99,Ust-Nera,RU,64.5667,143.2,-21.84,99,100,4.65,overcast clouds
100,Faanui,PF,-16.4833,-151.75,80.17,78,19,17.02,few clouds
101,Eydhafushi,MV,5.1033,73.0708,81.28,71,14,4.9,few clouds
102,Saint-Pierre,RE,-21.3393,55.4781,83.88,54,0,14.97,clear sky
103,Husavik,IS,66.0449,-17.3389,37.87,79,0,17.13,clear sky
104,Dikson,RU,73.5069,80.5464,19.51,94,100,16.62,overcast clouds
105,Butterworth,MY,5.3991,100.3638,86.09,75,20,9.22,few clouds
106,Maceio,BR,-9.6658,-35.7353,76.44,88,40,6.91,scattered clouds
107,Rio Gallegos,AR,-51.6226,-69.2181,50.05,43,75,5.75,broken clouds
108,Praia,CV,14.9215,-23.5087,74.44,64,87,13.22,overcast clouds
109,Dudinka,RU,69.4058,86.1778,5.72,97,100,6.71,overcast clouds
110,Rantepao,ID,-2.9701,119.8978,73.89,94,77,0.85,broken clouds
111,Orlik,RU,52.5178,99.825,-4.47,88,98,2.95,overcast clouds
112,Atar,MR,20.5169,-13.0499,72.57,16,0,4.27,clear sky
113,Luderitz,NA,-26.6481,15.1594,73.81,56,2,18.7,clear sky
114,Jennings,US,38.7192,-90.2604,26.62,73,0,4.61,clear sky
115,Jumla,NP,29.2747,82.1838,62.89,16,4,6.46,clear sky
116,Viedma,AR,-40.8135,-62.9967,51.78,80,0,6.11,clear sky
117,Hilo,US,19.7297,-155.09,79.29,94,100,3.44,overcast clouds
118,Dubai,AE,25.2582,55.3047,86.29,35,0,5.75,clear sky
119,Fort Nelson,CA,58.8053,-122.7002,-26.01,68,75,5.75,broken clouds
120,Namibe,AO,-15.1961,12.1522,76.77,66,74,7.7,broken clouds
121,Isangel,VU,-19.55,169.2667,80.49,83,87,4.21,overcast clouds
122,Port Blair,IN,11.6667,92.75,86.04,74,40,5.75,scattered clouds
123,Stephenville,US,32.2207,-98.2023,33.93,75,0,0.0,clear sky
124,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,83,3,5.48,clear sky
125,Hobyo,SO,5.3505,48.5268,84.15,66,47,16.82,light rain
126,Haines Junction,CA,60.7522,-137.5108,-11.25,77,100,1.14,overcast clouds
127,Gold Coast,AU,-28.0,153.4333,63.25,92,75,18.41,drizzle
128,Bonthe,SL,7.5264,-12.505,79.5,83,61,3.98,broken clouds
129,Vardo,NO,70.3705,31.1107,31.98,86,75,5.75,broken clouds
130,Port Hueneme,US,34.1478,-119.1951,56.95,80,100,6.91,overcast clouds
131,Riyadh,SA,24.6877,46.7219,77.14,23,100,7.05,overcast clouds
132,Port-Cartier,CA,50.0334,-66.8654,35.82,99,100,5.77,moderate rain
133,Ayan,RU,56.45,138.1667,-2.96,75,88,22.5,overcast clouds
